,category,headline,description,funding,Remaining Days
0,Community,FEMALE FUTURE FORCE Academy by EDITION F,52 Wochen digitales Coaching. 52 Top-Experten. 12 Themenschwerpunkte. Um dich persönlich und beruflich stärker zu machen und wachsen zu lassen.,"231.613,50 € (232%)",7 Tage
1,Sport,Max-Morlock-Stadion gemeinsam möglich machen!,"Deutscher Meister, Weltmeister, Kioskbesitzer – Max Morlock hat alles für uns gegeben. Deshalb möchten wir das Nürnberger Stadion nach ihm benennen!","240.608,47 € (30%)",7 Tage
2,Social Business,SirPlus - gerettete Lebensmittel für Dich per Shop,"Wir retten bestens genießbare Lebensmittel und bieten sie vergünstigt über unseren Food Outlet Laden in Berlin, per Online Shop und Lieferservice an!","50.014,29 € (100%)",26 Tage
3,Sport,EIN WIENER SPORT-CLUB,Fananteil an der letzten Chance zur Rückführung des Wiener Sportklub in den Wiener Sport-Club,"76.123,83 € (127%)",Projekt erfolgreich
4,Film / Video,Die sichere Geburt Dokumentarfilm goes KINO,"Gemeinsam bringen wir den Film ins Kino! 
Damit in diesem Wahljahr viele Menschen verstehen, was eine Geburt sicher macht und wodurch sie gestört wird.","30.637,25 € (123%)",22 Std.
5,Community,objekt klein a - Wenn Sie so wollen,"Eine Autobahnkirche für Trinker & Träumer, ein sicherer Hafen für Nachtschwärmer & Tagediebe aller couleur.","26.524,69 € (106%)",7 Tage
6,Musik,VON EDEN - Mit eurer Hilfe zum Debütalbum,Es ist soweit: unser Debütalbum ist fast fertig. Mit eurer Hilfe kann es am 11.8. veröffentlicht werden. Ihr bekommt es hier schon einen Monat früher!,"15.953,02 € (168%)",7 Tage
7,Food,GOODSPORT – für mehr natürliche Energie,"GOODSPORT macht Riegel & Müslis, die dir durchs Keimen natürliche Energie für jede Aktivität liefern – vegan, bio, funktionell & trotzdem superlecker","12.552,98 € (126%)",8 Tage
8,Literatur,Das Buch: 40 Years Of SAGA,"Das Buch zum 40-jährigen Bühnenjubiläum 2017 der kanadischen Band SAGA. Reich bebildert, mit vielen Roadstories – von der Band autorisiert.","28.690,00 € (125%)",3 Tage
9,Social Business,Traumschüff – Das Theater im Fluss,"Als mobile Plattform für Begegnung und Austausch erreichen wir auch jene Orte und Menschen, an die sonst kein Theater kommt.","15.939,03 € (106%)",Projekt erfolgreich
10,Community,Frauen*volksbegehren 2.0,"Jetzt erst recht! 
Gemeinsam mit euch entsteht eine Neuauflage für die Umsetzung lange bestehender Forderungen.","26.866,27 € (27%)",25 Tage
11,Community,Incipedia Gesichtswasser,"Ich möchte mit eurer Unterstützung ein mildes Gesichtswasser auf den Markt bringen, das wirksame Inhaltsstoffe enthält und ohne Duftstoffe auskommt.","7.078,48 € (118%)",7 Tage
,category,headline,description,funding,Remaining Days
0,Musik,Poems for Jamiro - Album und Orchesterkonzert,Wir sind Poems for Jamiro und möchten mit Eurer Hilfe unser zweites Album fertig stellen und mit Sinfonieorchester auf die Bühne bringen!,"7.600,50 € (112%)",22 Std.
1,Literatur,"""Das kleine Dankeschön""","Das kleine Dankeschön - ein liebevolles, lustiges, berührendes Büchlein über eines der schönsten Worte überhaupt - DANKE!","5.303,50 € (106%)",7 Tage
2,Musik,"Trinkpause! - CD-Produktion von ""Die Habenichtse""","Das zweite Album der Habenichtse soll bald fertig werden! Werde Teil des Projektes ""Trinkpause!"" und gönne sie dir!","3.368,00 € (168%)",15 Tage
