,category,headline,description,funding,Remaining Days
0,Community,FEMALE FUTURE FORCE Academy by EDITION F,52 Wochen digitales Coaching. 52 Top-Experten. 12 Themenschwerpunkte. Um dich persönlich und beruflich stärker zu machen und wachsen zu lassen.,"308.657,38 € (309%)",1 Tag
1,Sport,Max-Morlock-Stadion gemeinsam möglich machen!,"Deutscher Meister, Weltmeister, Kioskbesitzer – Max Morlock hat alles für uns gegeben. Deshalb möchten wir das Nürnberger Stadion nach ihm benennen!","328.102,47 € (41%)",1 Tag
2,Social Business,SirPlus - gerettete Lebensmittel für Dich per Shop,"Wir retten bestens genießbare Lebensmittel und bieten sie vergünstigt über unseren Food Outlet Laden in Berlin, per Online Shop und Lieferservice an!","53.876,29 € (108%)",20 Tage
3,Community,objekt klein a - Wenn Sie so wollen,"Eine Autobahnkirche für Trinker & Träumer, ein sicherer Hafen für Nachtschwärmer & Tagediebe aller couleur.","32.077,68 € (128%)",1 Tag
4,Community,Frauen*volksbegehren 2.0,"Jetzt erst recht! 
Gemeinsam mit euch entsteht eine Neuauflage für die Umsetzung lange bestehender Forderungen.","38.552,56 € (39%)",19 Tage
5,Musik,VON EDEN - Mit eurer Hilfe zum Debütalbum,Es ist soweit: unser Debütalbum ist fast fertig. Mit eurer Hilfe kann es am 11.8. veröffentlicht werden. Ihr bekommt es hier schon einen Monat früher!,"19.778,02 € (208%)",1 Tag
6,Food,GOODSPORT – für mehr natürliche Energie,"GOODSPORT macht Riegel & Müslis, die dir durchs Keimen natürliche Energie für jede Aktivität liefern – vegan, bio, funktionell & trotzdem superlecker","12.815,98 € (128%)",2 Tage
7,Community,Incipedia Gesichtswasser,"Ich möchte mit eurer Unterstützung ein mildes Gesichtswasser auf den Markt bringen, das wirksame Inhaltsstoffe enthält und ohne Duftstoffe auskommt.","7.438,48 € (124%)",1 Tag
8,Musik,Wie der Punk nach Stuttgart kam...,"... und wo er hinging. 
 2017. 40 Jahre Punk in der baden-württembergischen Landeshauptstadt und der Region. Buch-, Tonträger- und Ausstellungsprojekt.","16.863,00 € (118%)",19 Tage
9,Umwelt,Frau Ernas loser LebensMittelPunkt. MD Unverpackt,Magdeburgs erster Unverpackt-Laden,"13.962,73 € (107%)",18 Tage
10,Fotografie,WIENER WILDNIS,Die unglaubliche Natur und Tierwelt in der Großstadt - Das Buch zum Projekt!,"12.399,50 € (124%)",48 Tage
11,Musik,Außerhalb 2.0,"Ein kulturelles Kleinod im Bremer Sommer für all die Vagabunden, Überlebenskünstlerinnen und Träumer dieser Stadt.","4.576,40 € (183%)",1 Tag
,category,headline,description,funding,Remaining Days
0,Musik,"MIRKO SANTOCONO   ""MEINE ZUKUNFT IST ANDERS""",Ich bin Mirko Santocono ein Singer-Songwriter aus Rheinland Pfalz. Ich habe von Anfang an meinen Weg gesucht und mittlerweile auch gefunden.,"2.040,00 € (41%)",23 Tage
1,Musik,EGAL - EP,"Wir möchten unsere neue EP ""Arbor"" als Vinyl und CD, sowie mit neuem Merch veröffentlichen und brauchen dafür eure Hilfe!","544,99 € (109%)",18 Tage
2,Social Business,Die Schlaue Box,"Unterstützung und Arbeitshilfe bei Autismus, ADHS und Asperger-Syndrom.","3.970,00 € (13%)",22 Tage
3,Musik,CYBORG - Debüt-Album 2017,Die Maschine ist im Anflug. Mit eurer Hilfe können wir am 21.7. das Erscheinen unseres Debüt-Albums feiern. Hier könnt ihr Teil des Projektes werden.,"1.599,00 € (80%)",12 Tage
4,Event,Art viva in stüvas veglias,7 Kunstschaffende zu Gast im Museum Engiadinais in St. Moritz,"1.810,00 € (72%)",19 Tage
5,Musik,Die Berglinge,"Bumm Chack! Bumm Bumm Chack! Ein musikalisches Mitmach-Buch über kleine, singende Bergwesen mit dazugehöriger Familien-App zum Erstellen eigener Songs","1.600,00 € (20%)",28 Tage
6,Hörspiel / Hörbuch,Ariowist  - Das Kieler Fantasyhörspiel,"""Ariowist und Birkenfeuer"" ist ein Independent-Fantasyroman aus Kiel, den wir als Hörspiel umsetzen.","691,00 € (92%)",2 Tage
7,Event,Garten für jeden! - Summer Breeze 2017,#bringbackthebreeze - Das beliebte Summer Breeze-Festival soll heuer wieder jeden Donnerstag im Sommer im Triebwerk-Garten stattfinden!,"1.717,00 € (34%)",15 Tage
8,Food,pumpin panda - die fitte Schokolade,Ganz unter dem Motto „Nasch dich fit“ verbindet pumpin panda weltbesten Schokoladengenuss mit deinem sportlichen Fitnessplan.,"2.154,00 € (22%)",36 Tage
9,Theater,Der Freischütz - für die ganze Familie!,"Die Oper ""Der Freischütz"" wird von Kindern und Jugendlichen gespielt und gesungen. Begleitet werden sie von einem Orchester.","2.345,00 € (23%)",11 Tage
