0,Musik,"Das Außerhalb ist ein temporärer Ort für Musik, Kunst und Kultur unter freiem Himmel. Ein Treffpunkt für die Vagabunden, Überlebenskünstlerinnen und Träumer Bremens. Ein Raum für Projekte und ein Kleinod für 
Inspiration.",Außerhalb-Kollektiv,Bremen,2.500 €,8.000 €,"Recht auf Stadt, Festival, Musik, Subkultur, Kultur",Seit 2012 sind wir als ,Wir wollen wieder ein ,Kilian Chaunière Paul Kothé
0,Umwelt,"Mit jedem Einkauf etwas für sich selbst und seine Gesundheit tun und die Welt dabei ein kleines Stückchen besser machen - das könnt ihr bald bei Frau Ernas losem LebensMittelPunkt. 
 Hier gibt es - wie früher im Tante Emma Laden - alles lose. Vom Müsli über Getreide und Kaffee, bis hin zu den passenden Behältern und auch Hygieneartikel.",Frau Ernas Team,Magdeburg,13.031 €,31.013 €,"plastikfrei, nachhaltig, Müllvermeidung, Weltretten, Unverpackt","Es geht um die Gründung eines Unverpackt- oder ""Tante Emma
Ladens 2.0"" ;)","Bei uns im Laden sind alle willkommen: junge Weltverbesserer
genauso wie Menschen, die einfach nur genervt sind von schwer zu
öffnenden und unnötigen Verpackungen. Auch jene, die sich nach
der Rückkehr des altbekannten Tante-Emma-Ladens sehnen, werden bei
Frau Ernas losem LebensMittelPunkt etwas wiederfinden, das es in
unserer heutigen Gesellschaft zu wenig gibt: Zeit und Charakter.
Bei uns im Laden wird der Einkauf wieder zum Erlebnis. Hier ist man
näher am Produkt, näher am Menschen – Persönlichkeit und
Entschleunigung statt Anonymität und Hektik.",Sarah Werner Frithjof
0,Musik,"...uuund START! Wir sind die Punkrock Band Bouncin B.C. aus Niederbayern! Nach 5 Jahren mit diversen Touren im In- und Ausland, Besetzungswechseln, Konzerten mit tollen Leuten (vor, hinter und auf der Bühne), musikalischer Entwicklung und unserem mittlerweile 10-jährigen Bestehen soll das Projekt Bouncin B.C. jetzt nochmal richtig starten! 
Um diesen Traum zu realisieren, brauchen wir Eure Unterstützung, damit das neue und bereits überfällige Album produziert werden kann!",Ferdinand Haimerl,Landshut,3.000 €,,"Ska, hardcore, Bouncin B.C., Rock, Punk","Es geht um die Realisierung des neuen Albums von Bouncin B.C.
nach einer langen Zeit ohne neuer Musik und zum 10-jährigen
Bandbestehen.","Es ist unser innigster Wunsch und nun festes Vorhaben, unsere
neue Musik endlich für unsere Fans, unsere Unterstützer, Freunde
und Familien, sowie auch für uns selbst zugänglich zu machen.",Ferdinand Haimerl
0,Fotografie,"Alles nur Grau in der Stadt? 
Stimmt gar nicht! 
WIENER WILDNIS ist ein Buch, das anhand von einzigartigen Fotos und Texten auf die überraschend vielfältige Natur in der Großstadt aufmerksam macht. Es geht um die unterschätzte Bedeutung urbaner Räume als Zufluchtsort für Wildtiere. Aber auch um die zunehmend positive Wirkung urbaner Wildnis auf uns Menschen. Ein innovatives, einzigartiges und zugleich hochwertiges Buch zum Lesen und zum Staunen. 
Garantierte Auslieferung im November 2017.",Verena & Georg,Wien,10.000 €,30.000 €,"Umwelt, Buch, Urbane Natur, Fotografie, Tiere","WIENER WILDNIS wurde im Jahr 2012 vorwiegend für digitale
Medien ins Leben gerufen. Am Beginn stand ein fotografisch gesehen
""leeres Blatt"", weil es diese Thema bis dato noch gar nicht gab.
Mit viel Geduld, Recherche und technischen Aufwand, gelangen uns im
Lauf der Zeit noch nie dagewesene Bilder von Säugetieren, seltenen
Vögeln, Kleintieren oder Insekten aber auch Pflanzen mitten in
Wien. Selbst die städtische Unterwasserwelt wurde von uns
spektakulär in Szene gesetzt. Seit dem Start 2012 begeistern und
überraschen die Fotografien der wilden Wiener Tierwelt eine stetig
wachsende Fangemeinde auf Facebook sowie die Besucher unserer
Vorträge.","WIENER WILDNIS - ist sowohl in inhaltlicher als auch visueller
Hinsicht ein einzigartiges Buch und daher für eine große
Zielgruppe geeignet. Jeder der sich für eine oder mehrere der
folgenden Themen interessiert, wird von unserem Buch begeistert
sein:",Georg Popp Verena Popp-Hackner
0,Film  Video,"Ein Coming-of-Age Film, in dessen Zentrum vier junge Frauen stehen. Er erzählt von einer Freundschaft, die grenzenlos erscheint. 
Doch durch eine Entscheidung sind sie plötzlich mit der Endlichkeit der Freundschaft konfrontiert. Dennoch ist Liebe auch das, was am schwersten fällt, loszulassen. 
Vier starke, unabhängige Charaktere, die losgelöst von einer Feminismus Debatte davon erzählen, warum der Mensch weder alleine sein kann noch auf Dauer kompromissfähig ist.",Vier,Berlin,2.700 €,,,"Die vier Freundinnen Charlotte, Clara, Naïma und Sophia kennen
sich schon seit der Schule. Doch nun, wo die Schule vorbei ist,
entwickelt jede ihre eigenen Vorstellungen einer Zukunft.
Gleichzeitig klammern sie sich in dieser Strukturlosigkeit umso
mehr aneinander. Die Freundschaft, die die vier miteinander
verbindet ist sehr innig, beinahe schon familiär. Eine
Kindheitsliebe, die bis zu diesem Zeitpunkt nie in Frage gestellt
worden ist. Trotz der freundschaftlichen Harmonie unterscheiden
sich die vier Mädchen in ihrem Wesen, ihren Wünschen und
Problemen stark voneinander. Naïma, die Probleme hat, alleine zu
sein, aber zugleich eine Unabhängigkeit anstrebt. Charlotte, die
ein wenig naiv auf der Suche nach Liebe ist. Sophia, die hin- und
hergerissen ist, zwischen dem, was sie glaubt zu wollen und
wirklich will. Und zuletzt Clara, deren größte Angst
Veränderungen sind und die trotzdem die Entscheidung trifft, aus
Berlin wegzugehen. Damit steht mit einem Mal die Endlichkeit ihrer
Freundschaft im Raum und die letzten gemeinsamen Wochen entwickeln
sich anders als anfänglich erhofft.","„Vier“ soll ein Coming-Of-Age Film werden, der eine enge
Freundschaft von jungen Frauen darstellt, die nicht stereotypisiert
werden oder eindimensional als Nebenfiguren auftreten. Anders als
bei vielen anderen Filmen mit weiblichen Hauptrollen setzen sich
hier die Vier nicht mit ihrer Rolle als Frau in der Gesellschaft
auseinander, sondern agieren losgelöst davon. Daher stellt der
Film auch keine Frage nach einer weiblichen Identität, sondern
thematisiert eine Freundschaft, die allen Geschlechtern auf gleiche
Weise zugänglich ist. Zudem behandelt der Film keine typischen
Jugendfilm-Thematiken wie Drogen, die Suche nach der eigenen
sexuellen Identität oder Perspektivlosigkeit nach der Schule.
Vielmehr steht im Mittelpunkt die Schwierigkeit der Gutgläubigkeit
der Kindheit und der des Zweifels des Erwachsen-Werdens, die Angst
und gleichzeitig der Drang nach Veränderung, die Frage nach
Unabhängigkeit und Abhängigkeit und die Erkenntnis von
Endlichkeit, die mit einem Mal überall zu spüren ist.",Clara Baro Naima Sita Walter Lorenz Willkomm Sophia Havanna Picabia Huth Charlotte Lau
0,Musik,"40 Jahre Punk! 
In Stuttgart!? Ja! Unter der spießig-glatten Oberfläche der baden-württembergischen Landeshauptstadt brodelt(e) es. Der Historiker und Musiker Simon Steiner hat über 100 Zeitzeugen-Interviews geführt, unendlich viele Fanzines, Kassetten, Platten, Klamotten, Fotos, Plakate... gesammelt. Wie kam es zu einer Punkbewegung? Wo ging sie hin? In einer Stadt, bekannt für Kehrwoche, Autos, HipHop und Feinstaub. All das erlebbar in einer Buchpublikation, auf Tonträgern und Ausstellung.",stuttgartpunk,Stuttgart,14.300 €,,"Punk, Stuttgart, Buch, Doppelalbum, Ausstellung","Wie Simon Steiner im Projekt-Trailer (klick ""Video abspielen"")
erläutert hat: Es geht um Punk in Stuttgart. Wie er herkam, wo er
hinging. Reingepackt in:"," bei dieser Crowdfunding-Aktion ist, dass
wir Dich/Euch von diesem Projekt begeistern können, und
somit…",Uli Schwinge Shanthi Schwinge Barny Trouble Simon Steiner
0,Community,"Mit eurer Unterstützung möchte ich ein mild formuliertes Gesichtswasser auf den Markt bringen und später in meinem eigenen Onlineshop vertreiben. Die Rohstoffe hierfür stammen aus der EU, es ist vegan, tierversuchsfrei, wird 100 ml beinhalten und in einem Zerstäuber aus Braunglas abgefüllt. So sind die Inhaltsstoffe besser geschützt.",Eugenia Garder,Dresden,6.000 €,,"hautpflege, kosmetik","In diesem Projekt geht es darum mein geliebtes DIY
Gesichtswasser verkaufstauglich zu machen. Der Hersteller ist in
Deutschland ansässig und wird das Gesichtswasser nicht nur
herstellen, sondern auch abfüllen und etikettieren.","Mein Ziel ist es mindestens 500 Flaschen a 100 ml des Wassers
herstellen zu lassen und für Hautpflegebegeisterte, Allergiker und
Leute mit Problemhaut anzubieten. ",Eugenia Garder
0,Theater,"Die BaroqueBitches mögen es besonders! Mit der Show ""Time Travel Bitches - BaroqueBitches On The Road"" bringt das Barock-Performance-Duo, zusammen mit einem großartigen Akkordeonisten, Oper an besondere Orte. Ob Bar oder Badewanne - hier gibt es klassische Musik für jeden und garantiert ohne Sicherheitsabstand. Um die Premiere am 5. Mai 2017 in Berlin finanzieren zu können, brauchen die BaroqueBitches Deine Hilfe!",BaroqueBitches,Berlin,500 €,1.370 €,"Strassenmusik, Akkordeon, Oper, Barock, Pop Up Opera","Die BaroqueBitches wollen ihre eigene Show! Nach viel
Straßenmusik und zahlreichen, kleineren Performances soll endlich
expandiert werden, denn: auch eine BaroqueBitch muss sich stets
weiter entwickeln.","Unsere Berufung ist es, Oper an Orte zu bringen, an denen sie
nie zuvor erklungen ist und somit ein neues Publikum für Oper zu
gewinnen. Ob Flüchtlingscamp oder Festival, ob Bar oder Badewanne
- wir bieten an jedem Ort und jedem die Möglichkeit, klassische
Musik ganz ohne Zwang zu erleben.",Nicole Kronwitter geb. Tschaikin Nicole Tschaikin Claudia Roick Dennis Weijers
0,Fotografie,"Mit diesem Kalender voll mit einzigartigen Looks, Burlesque inspirierter Optik, und elegantem Design möchte ich mir endlich einen lange gehegten Traum erfüllen! In 14 Motiven (1 Cover, 1 Editorial und 12 Monate) möchte ich mich optisch austoben, kreativ weiterentwickeln und zeigen, dass es für herausragende Arbeit im kreativen Bereich nicht mehr als einen offenen Geist braucht... und eure Unterstützung!",Dita Whip,Freiburg im Breisgau,500 €,,"Vintage, Design, Fotografie, Drag Queen, Kalender", - Wir wollen euch nicht nur ,Das ,Dita Whip
0,Theater,"Die Leopoldschule (www.leopoldschule.at) im zweiten Wiener Gemeindebezirk ist inklusives, kreatives Lernambiente für rund 130 Kinder aus 22 Nationen, mit und ohne Behinderung. Nach dem großen Erfolg der Musiktheaterversion von „Valerie und die Gute-Nacht-Schaukel“ im Jahr 2014 nehmen die Schüler_innen unter der Leitung von Agnes Palmisano nun eine neue Theaterproduktion in Angriff: Am 31. Mai 2017 bringen sie den Kinderbuchklassiker „Dschungelbuch“ als Musical auf die Bühne des Wiener „MuTh“.",Das Dschungelbuch,Wien,3.000 €,,"Theater, Inklusion, Musical, Kindermusical, Kindertheater","Das „Dschungelbuch“ ist mehr als ein uns allen bekannter
Zeichentrickfilm. Rudyard Kipling hat mit der Geschichte um den
kleinen Jungen Mowgli, der bei den Tieren des Dschungels
aufwächst, vor 100 Jahren ein Stück Weltliteratur geschrieben.
Agnes Palmisano und Helmut Stippich haben daraus ein Musical für
Kinder gemacht. Gefühlvolle Balladen, Rock und Rap bilden ein
abwechslungsreiches, harmonisches Ganzes. Solisten, Chor und Tanz
– alle bringen sich begeistert und engagiert ein und machen das
Dschungelbuch-Musical zu einem bunten Theaterereignis.","Die Aufführungen sind für alle Menschen ab 3 Jahren sicherlich
ein ergreifendes Erlebnis. Bei den Dankeschöns gibt es auch einige
für Menschen, die es nicht zu den Aufführungen schaffen
werden.",Lisa Schmidt
0,Community,"Unter fachkundiger Betreuung ein klassisches Boot restaurieren - 
im Sommer auf einem der berühmtesten kleinen Traditionssegler Deutschlands durch die See kreuzen. 
Mit dem Projekt „Timpe Te zur See - Jugend restauriert Film-Boot“ sollen junge Menschen genau das erleben.",Team „Timpe Te“,Flensburg,5.000 €,7.000 €,"Timpe Te, Dulcibella, Segeln, Restaurierung, Jugendarbeit","Die Timpe Te, das als „Dulcibella“ bekannte Boot aus dem
Film „Das Rätsel der Sandbank“, wird wieder fit fürs Wasser
gemacht. In einem professionell angeleiteten und durch Fachkräfte
unterstützten Jugendprojekt wird das Boot instand gesetzt. Danach
steht das historische Boot in Flensburg jungen Leuten zum Segeln
zur Verfügung.","Ziel des Projektes ist es, der Timpe Te ein neues Leben auf dem
Wasser zu schenken. Junge Menschen sammeln dabei Erfahrung im
Bootsbau und in der Instandsetzung von Holzbooten und entwickeln
nicht zuletzt soziale und organisatorische Kompetenzen. Ein
fertiges Gemeinschaftsboot für Jugendliche bringt dann Freude und
Erfahrung beim Segeln mit klassischer Takelung. Zielgruppe sind vor
allem Jungen und Mädchen im Alter von 14 Jahren bis ins frühe
Erwachsenenalter, die neben dem trockenen Schul- und Arbeitsalltag
Interesse am Kennenlernen der maritimen handwerklichen Welt
haben.",Daniela Friedrich David Friedrich
